关卡 委托        玩法  件数   网格        填充  节点  标记           追加
  4 drawer-5    classic 6→7    6x4→7x4     0.86  7     -            tape
  5 drawer-6    classic 6→7    6x5→7x5     0.89  7     -            tape
  6 drawer-7    blocked 5→7    5x4→6x5     0.88  8     -            keys,lamp
  7 drawer-8    blocked 5→7    5x5→6x6     0.88  7     -            lamp,shoes
  8 drawer-9    blocked 5→7    6x4→7x4     1.00  22    恰好放满         tape,keys
  9 drawer-10   blocked 6→7    6x5→7x5     0.84  8     -            lamp
 10 drawer-11   zone   5→7    5x4→5x5     0.88  7     -            tape,postcard
 11 drawer-12   zone   5→7    5x5→6x5     0.87  7     -            tape,lamp
 12 drawer-13   zone   6→7    6x4→6x4     1.00  11    恰好放满         mug
 13 drawer-14   zone   6→7    6x5→6x5     0.86  7     -            tape
 14 drawer-15   choice 6→8    4x4→4x4     1.31  46    -            headphones,shoes
 15 drawer-16   choice 6→8    4x4→4x4     1.31  54    -            notebook,cane
 16 drawer-17   choice 6→8    5x3→5x3     1.50  136   -            camera,lamp
 17 drawer-18   choice 6→8    5x4→5x4     1.28  103   -            tin,mug
 18 drawer-19   blocked 6→8    6x5→7x5     0.87  8     -            pencil,postcard
 19 drawer-20   blocked 6→8    6x5→7x5     0.87  8     -            tape,keys
 20 drawer-21   blocked 6→8    7x5→8x5     0.86  8     锁转           pencil,lamp
 21 drawer-22   zone   5→8    6x4→7x4     0.86  8     -            pencil,glasses,postcard
 22 drawer-23   zone   6→8    6x5→6x5     0.87  8     -            postcard,lamp
 23 drawer-24   zone   6→8    7x5→7x5     0.86  8     -            pencil,letter
 24 drawer-25   choice 6→8    5x4→5x4     1.00  4     -            headphones,shoes
 25 drawer-26   choice 6→8    5x4→5x4     0.75  4     -            mug,cane
 26 drawer-27   choice 6→8    6x5→6x5     0.90  5     -            notebook,lamp
 27 drawer-28   cross  5→9    6x4→7x5     0.87  9     -            pencil,letter,glasses,postcard
 28 drawer-29   cross  5→9    6x5→7x6     0.86  9     -            tape,pencil,keys,lamp
 29 drawer-30   cross  6→9    6x5→6x6     0.91  27    -            letter,postcard,lamp
 30 drawer-31   cross  6→9    6x6→7x6     0.88  10    -            pencil,keys,lamp
 31 drawer-32   cross  6→9    7x5→7x6     0.86  9     -            pencil,glasses,postcard
 32 drawer-33   cross  6→9    6x5→7x5     1.00  44    恰好放满         notebook,tape,postcard
 33 drawer-34   cross  6→9    7x5→8x5     0.89  9     -            pencil,glasses,postcard
 34 drawer-35   cross  6→9    6x6→7x6     0.88  9     -            pencil,lamp,shoes
 35 drawer-36   pick   6→9    5x4→5x4     1.00  4     -            mug,headphones,cane
 36 drawer-37   pick   6→9    6x4→6x4     1.04  5     -            notebook,keys,camera
 37 drawer-38   pick   6→9    6x5→6x5     0.60  4     -            player,lamp,shoes
 38 drawer-39   pick   6→9    6x6→6x6     0.56  4     -            tin,mug,cane
 39 drawer-40   pick   6→9    7x5→7x5     0.66  4     -            keys,camera,headphones
 40 drawer-41   pick   6→9    6x6→6x6     0.69  5     -            notebook,lamp,shoes
 41 drawer-42   pick   6→9    6x5→6x5     0.67  5     -            tin,mug,cane
 42 drawer-43   master 6→9    6x5→6x5     0.86  5     固定1          keys,player,headphones
 43 drawer-44   master 6→9    6x6→6x6     0.77  5     固定1          notebook,lamp,shoes
 44 drawer-45   master 6→9    7x5→7x5     0.67  4     固定1          camera,mug,cane
 45 drawer-46   master 6→9    6x6→6x6     0.84  5     固定1          tin,keys,headphones
 46 drawer-47   master 6→9    7x6→7x6     0.63  4     固定1          notebook,lamp,shoes
 47 drawer-48   master 6→9    6x6→6x6     0.68  5     固定1          mug,player,cane
 48 drawer-49   master 6→9    7x6→7x6     0.68  5     固定1          photo,keys,camera
 49 drawer-50   master 6→9    6x6→6x6     0.88  5     固定1          headphones,lamp,shoes

已增强 46 关；未成功 0 关：
